iter	Accuracy	Logloss
502	0.8128638364	0.3999299258
503	0.8125798665	0.399900875
504	0.8127218515	0.399881074
505	0.8127218515	0.3998603501
506	0.8128638364	0.3998354357
507	0.8128638364	0.3997686256
508	0.8128638364	0.3997392821
509	0.8128638364	0.399709807
510	0.8128638364	0.3996908235
511	0.8128638364	0.3996347043
512	0.8127218515	0.3995920111
513	0.8130058214	0.3995696836
514	0.8130058214	0.3995386122
515	0.8130058214	0.3994917213
516	0.8131478063	0.3994659568
517	0.8132897913	0.3994454852
518	0.8132897913	0.3994243258
519	0.8132897913	0.3993990163
520	0.8132897913	0.3993681109
521	0.8132897913	0.3993372227
522	0.8131478063	0.3993167979
523	0.8132897913	0.39928171
524	0.8132897913	0.3992587093
525	0.8134317762	0.399239215
526	0.8131478063	0.3992025628
527	0.8131478063	0.3991708646
528	0.8130058214	0.3991508156
529	0.8131478063	0.3991279176
530	0.8131478063	0.3990982886
531	0.8130058214	0.3990595652
532	0.8131478063	0.3990393158
533	0.8131478063	0.3990155475
534	0.8134317762	0.3989759232
535	0.8132897913	0.3989505324
536	0.8131478063	0.3989363032
537	0.8132897913	0.3989120286
538	0.8132897913	0.398878697
539	0.8134317762	0.3988512507
540	0.8135737612	0.3988227462
541	0.8134317762	0.3987870663
542	0.8134317762	0.3987333945
543	0.8135737612	0.3987073236
544	0.8135737612	0.398691286
545	0.8135737612	0.3986520509
546	0.8132897913	0.3986317572
547	0.8134317762	0.3986105074
548	0.8135737612	0.398588735
549	0.813999716	0.3985645504
550	0.8138577311	0.3985294241
551	0.813999716	0.3985037713
552	0.8138577311	0.3984807879
553	0.8138577311	0.3984630111
554	0.8137157461	0.3984267289
555	0.8137157461	0.398389421
556	0.8135737612	0.3983636209
557	0.8135737612	0.3983401181
558	0.8137157461	0.3983146036
559	0.8137157461	0.3982874018
560	0.8137157461	0.3982470765
561	0.8137157461	0.3982339616
562	0.8137157461	0.3982114577
563	0.8137157461	0.398193556
564	0.8135737612	0.3981646171
565	0.8135737612	0.3981385907
566	0.8137157461	0.3981241284
567	0.8137157461	0.3980887021
568	0.8138577311	0.3980531387
569	0.8135737612	0.3980328904
570	0.8137157461	0.3980028647
571	0.8137157461	0.3979738605
572	0.8137157461	0.3979464845
573	0.8137157461	0.3979278417
574	0.8137157461	0.3979005322
575	0.8137157461	0.3978756975
576	0.8138577311	0.3978323852
577	0.8138577311	0.397789098
578	0.8142836859	0.3977552392
579	0.8144256709	0.3977260088
580	0.8142836859	0.3976915131
581	0.8142836859	0.3976628515
582	0.814141701	0.3976360098
583	0.814141701	0.3976207357
584	0.814141701	0.3975933335
585	0.813999716	0.3975708037
586	0.8138577311	0.3975568629
587	0.8137157461	0.3975223929
588	0.8137157461	0.3974897314
589	0.8138577311	0.3974599818
590	0.8138577311	0.3974316099
591	0.8138577311	0.3974014749
592	0.8138577311	0.3973642907
593	0.813999716	0.3973403803
594	0.813999716	0.3973211684
595	0.813999716	0.3973070801
596	0.813999716	0.3972742218
597	0.814141701	0.3972567605
598	0.813999716	0.3972317384
599	0.814141701	0.3972146984
600	0.8138577311	0.3971807572
601	0.8138577311	0.3971548012
602	0.8138577311	0.3971494852
603	0.8138577311	0.3971207325
604	0.814141701	0.3970869277
605	0.8137157461	0.3970688782
606	0.8138577311	0.3970318987
607	0.813999716	0.3969970775
608	0.813999716	0.3969620308
609	0.8138577311	0.3969402849
610	0.8138577311	0.3969209008
611	0.8138577311	0.3968960179
612	0.8138577311	0.3968777013
613	0.8137157461	0.3968470478
614	0.8137157461	0.3968172716
615	0.8138577311	0.3967876119
616	0.8137157461	0.3967680633
617	0.8137157461	0.3967570713
618	0.8138577311	0.3967242633
619	0.8138577311	0.3967004782
620	0.813999716	0.3966836299
621	0.814141701	0.3966634307
622	0.8142836859	0.3966606981
623	0.8144256709	0.3966143552
624	0.8148516257	0.3965857191
625	0.8148516257	0.3965604716
626	0.8148516257	0.3965202646
627	0.8148516257	0.3965007892
628	0.8151355956	0.3964771735
629	0.8149936107	0.396455519
630	0.8149936107	0.3964537438
631	0.8148516257	0.3964177366
632	0.8149936107	0.3964053737
633	0.8147096408	0.3963928424
634	0.8147096408	0.396365258
635	0.8152775806	0.3963418689
636	0.8154195655	0.3963121429
637	0.8152775806	0.3962992345
638	0.8152775806	0.3962780474
639	0.8152775806	0.3962484474
640	0.8152775806	0.3962189176
641	0.8154195655	0.3961888173
642	0.8154195655	0.3961773407
643	0.8152775806	0.3961440734
644	0.8154195655	0.3961118204
645	0.8152775806	0.3960899755
646	0.8151355956	0.3960638091
647	0.8151355956	0.3960417673
648	0.8151355956	0.396014193
649	0.8151355956	0.3959912169
650	0.8151355956	0.3959609171
651	0.8151355956	0.3959368889
652	0.8151355956	0.3959267955
653	0.8154195655	0.3958974328
654	0.8154195655	0.3958777786
655	0.8155615505	0.3958564311
656	0.8152775806	0.395850044
657	0.8152775806	0.3958190957
658	0.8155615505	0.3957957661
659	0.8154195655	0.3957748491
660	0.8152775806	0.3957442878
661	0.8152775806	0.3957061231
662	0.8152775806	0.3956788556
663	0.8151355956	0.3956462827
664	0.8152775806	0.3956181183
665	0.8152775806	0.3955975633
666	0.8152775806	0.395575517
667	0.8152775806	0.3955539544
668	0.8151355956	0.3955357473
669	0.8151355956	0.395517975
670	0.8152775806	0.3955031858
671	0.8148516257	0.3954648641
672	0.8147096408	0.3954214794
673	0.8149936107	0.395396431
674	0.8151355956	0.3953762602
675	0.8152775806	0.3953398487
676	0.8152775806	0.3953202216
677	0.8152775806	0.3953051087
678	0.8155615505	0.3952897278
679	0.8155615505	0.395259065
680	0.8155615505	0.3952191063
681	0.8154195655	0.3951699522
682	0.8154195655	0.3951385733
683	0.8152775806	0.3950971659
684	0.8152775806	0.3950766218
685	0.8155615505	0.3950514736
686	0.8154195655	0.3950155905
687	0.8154195655	0.3949902831
688	0.8154195655	0.3949736198
689	0.8152775806	0.3949309073
690	0.8152775806	0.3949145998
691	0.8152775806	0.3948891029
692	0.8154195655	0.3948632259
693	0.8154195655	0.3948603712
694	0.8152775806	0.3948343582
695	0.8151355956	0.3948190194
696	0.8152775806	0.3947760964
697	0.8152775806	0.3947467119
698	0.8155615505	0.3947230329
699	0.8155615505	0.3947020349
700	0.8155615505	0.3946749894
701	0.8154195655	0.3946422678
702	0.8154195655	0.394625485
703	0.8157035354	0.3946058236
704	0.8154195655	0.3945819374
705	0.8154195655	0.3945591486
706	0.8154195655	0.3945436265
707	0.8154195655	0.3945034875
708	0.8154195655	0.3944938621
709	0.8154195655	0.3944743092
710	0.8154195655	0.3944365145
711	0.8152775806	0.3944035549
712	0.8152775806	0.3943738087
713	0.8154195655	0.3943459917
714	0.8154195655	0.3943295049
715	0.8155615505	0.394302568
716	0.8154195655	0.3942772836
717	0.8154195655	0.3942607023
718	0.8155615505	0.394238457
719	0.8155615505	0.3942192982
720	0.8155615505	0.3942012469
721	0.8155615505	0.3941883851
722	0.8155615505	0.3941742477
723	0.8155615505	0.3941540932
724	0.8155615505	0.3941406067
725	0.8155615505	0.3941172543
726	0.8157035354	0.3940902568
727	0.8157035354	0.3940547724
728	0.8155615505	0.3940296803
729	0.8157035354	0.394004315
730	0.8157035354	0.3939860145
731	0.8158455204	0.393962903
732	0.8158455204	0.3939462212
733	0.8158455204	0.3939185332
734	0.8158455204	0.393887538
735	0.8157035354	0.3938507802
736	0.8159875053	0.3938317265
737	0.8158455204	0.3938161629
738	0.8158455204	0.3937838374
739	0.8161294903	0.3937658613
740	0.8161294903	0.3937414292
741	0.8162714752	0.3937264105
742	0.8161294903	0.3937021709
743	0.8161294903	0.3936515032
744	0.8161294903	0.3936381327
745	0.8161294903	0.3936260444
746	0.8159875053	0.3936027721
747	0.8159875053	0.3935896354
748	0.8159875053	0.3935693184
749	0.8159875053	0.3935569298
750	0.8159875053	0.3935403761
751	0.8159875053	0.3935011384
752	0.8159875053	0.3934646166
753	0.8159875053	0.393450893
754	0.8159875053	0.3934312453
755	0.8161294903	0.3934007443
756	0.8161294903	0.3933877125
757	0.8161294903	0.3933758618
758	0.8161294903	0.393350296
759	0.8161294903	0.3933340898
760	0.8162714752	0.3933090056
761	0.8164134602	0.3932773829
762	0.8164134602	0.3932531117
763	0.8165554451	0.393223668
764	0.8165554451	0.3931646831
765	0.8165554451	0.3931437175
766	0.8165554451	0.3931124443
767	0.8164134602	0.393090884
768	0.8165554451	0.3930401148
769	0.8165554451	0.3930219437
770	0.8165554451	0.3930013048
771	0.8164134602	0.3929735837
772	0.8165554451	0.3929522272
773	0.8165554451	0.3929306809
774	0.8165554451	0.3929043473
775	0.8165554451	0.392884947
776	0.8164134602	0.392864895
777	0.8164134602	0.3928334327
778	0.8164134602	0.3928098166
779	0.8164134602	0.3927849372
780	0.8164134602	0.3927490586
781	0.8166974301	0.3927282368
782	0.8169814	0.3926926
783	0.816839415	0.3926774335
784	0.8169814	0.3926179519
785	0.8166974301	0.3925709846
786	0.816839415	0.392546152
787	0.8169814	0.3925320186
788	0.8169814	0.3925180252
789	0.8166974301	0.3925040063
790	0.816839415	0.3924802734
791	0.8169814	0.3924542669
792	0.816839415	0.3924224022
793	0.816839415	0.3924029047
794	0.8166974301	0.3923832984
795	0.8166974301	0.3923663182
796	0.816839415	0.3923322498
797	0.8166974301	0.3923158162
798	0.8166974301	0.3922907761
799	0.8169814	0.3922521474
800	0.8171233849	0.3922317385
801	0.8169814	0.392207817
802	0.8171233849	0.3921717636
803	0.8169814	0.3921412957
804	0.8169814	0.3921252161
805	0.8171233849	0.3920952921
806	0.8171233849	0.3920727676
807	0.8169814	0.392027696
808	0.8171233849	0.3920038305
809	0.8169814	0.3919810486
810	0.8169814	0.3919512778
811	0.816839415	0.3919206164
812	0.8166974301	0.39187144
813	0.8166974301	0.3918429034
814	0.8166974301	0.3918148224
815	0.8169814	0.3917802477
816	0.816839415	0.3917563132
817	0.816839415	0.391744017
818	0.816839415	0.391736472
819	0.816839415	0.3916975265
820	0.816839415	0.3916684592
821	0.8169814	0.391634141
822	0.8169814	0.3916096427
823	0.8169814	0.3915819926
824	0.8172653699	0.3915401782
825	0.8172653699	0.3915232012
826	0.8172653699	0.3915057707
827	0.8172653699	0.3914731649
828	0.8174073548	0.3914486474
829	0.8172653699	0.3914387801
830	0.8172653699	0.3914150892
831	0.8175493398	0.3913971982
